"","Year.x","ADMIN2_NAME","LocationName.x","Prev_H","lo_CI_H","up_CI_H","Nearby","Year.y","LocationName.y","Prev_M","lo_CI_M","up_CI_M"
"1",2015,"Diebougou","Dolo",0,0,0.00809236423616144,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"2",2015,"Dano","Nablegane",0,0,0.0112862255742233,"Ouessa",2016,"Ouessa",0.033898,0.00413193297236521,0.117148463888393
"3",2015,"Dano","Tovor",0,0,0.0106661951722897,"Ouessa",2016,"Ouessa",0.033898,0.00413193297236521,0.117148463888393
"4",2015,"Diebougou","Saptan",0.0180505415162455,0.00588629355193365,0.0416189067339759,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"5",2016,"Dano","null",0.00470588235294118,0.00203378906955855,0.00925130194769153,"Ouessa",2016,"Ouessa",0.033898,0.00413193297236521,0.117148463888393
"6",2017,"Diebougou","Saptan",0.0479233226837061,0.0270670145048714,0.0778112515065593,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"7",2017,"Diebougou","Mouvielo-Walbale-Zopal",0.0450643776824034,0.0281086925916989,0.0680629372002538,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"8",2017,"Diebougou","Limalia",0.0413223140495868,0.0233092369420721,0.0672397797821209,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"9",2017,"Diebougou","Danko-Tanzou",0.060126582278481,0.0365846949862166,0.0923049110289972,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"10",2018,"Dano","null",0,0,0.00202702940384193,"Ouessa",2016,"Ouessa",0.033898,0.00413193297236521,0.117148463888393
"11",2019,"Diebougou","Danko Tanzou",0.018018018018018,0.00664028457214496,0.038803173856013,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"12",2019,"Diebougou","Limalia",0.00598802395209581,0.000726001918397126,0.0214622777356046,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"13",2019,"Diebougou","Saptan",0.0162337662337662,0.00529153332563388,0.0374755444190192,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"14",2019,"Diebougou","Mouvielo -Walbale -Zopal",0.00515463917525773,0.000624861457758305,0.0184953819491156,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"15",2020,"Diebougou","null",0,0,0.00218167792534606,"Bapla",2016,"Bapla",0.003367,0.000408020143090229,0.012109400720113
"16",2021,"Dano","null",0.00107181136120043,0.000129827694917811,0.00386633461638183,"Ouessa",2016,"Ouessa",0.033898,0.00413193297236521,0.117148463888393
